Category: All categories

Week,Miami Heat: (United States),Dallas Mavericks: (United States),Orlando Magic: (United States),San Antonio Spurs: (United States),Indiana Pacers: (United States)
2018-11-25,23,30,14,27,19
2018-12-02,25,27,11,39,16
2018-12-09,41,35,10,29,21
2018-12-16,32,28,10,31,20
2018-12-23,40,39,12,32,19
2018-12-30,30,33,10,55,18
2019-01-06,33,29,9,49,18
2019-01-13,26,32,13,36,17
2019-01-20,26,28,10,27,22
2019-01-27,29,60,12,36,22
2019-02-03,34,47,15,39,28
2019-02-10,29,32,14,21,19
2019-02-17,22,20,9,19,11
2019-02-24,36,25,14,28,18
2019-03-03,32,23,12,29,17
2019-03-10,29,26,9,33,19
2019-03-17,33,23,12,48,18
2019-03-24,34,23,16,34,17
2019-03-31,36,23,18,35,17
2019-04-07,62,35,29,38,15
2019-04-14,13,10,35,100,40
2019-04-21,11,8,20,99,20
2019-04-28,10,8,4,60,5
2019-05-05,10,9,4,13,5
2019-05-12,13,14,4,12,6
2019-05-19,13,9,4,11,5
2019-05-26,12,10,4,15,5
2019-06-02,13,10,5,12,5
2019-06-09,16,11,5,20,6
2019-06-16,29,22,10,26,16
2019-06-23,22,22,6,18,11
2019-06-30,81,54,11,32,23
2019-07-07,86,28,9,28,12
2019-07-14,41,14,6,16,7
2019-07-21,28,11,5,15,6
2019-07-28,21,8,4,11,5
2019-08-04,17,8,4,11,4
2019-08-11,17,9,5,12,5
2019-08-18,14,8,4,9,4
2019-08-25,12,7,3,8,4
2019-09-01,12,7,3,8,3
2019-09-08,15,7,3,7,4
2019-09-15,12,8,4,7,4
2019-09-22,15,8,10,8,6
2019-09-29,15,10,7,11,9
2019-10-06,24,22,14,17,9
2019-10-13,29,18,14,21,10
2019-10-20,45,40,16,33,19
2019-10-27,64,80,21,69,28
2019-11-03,100,52,19,70,26
2019-11-10,45,47,19,34,25
2019-11-17,48,67,14,42,20
