Category: All categories

Week,Brooklyn Nets: (United States),Washington Wizards: (United States),Golden State Warriors: (United States),Oklahoma City Thunder: (United States),Memphis Grizzlies: (United States)
2018-11-25,1,2,11,3,1
2018-12-02,1,1,12,3,1
2018-12-09,1,2,11,3,1
2018-12-16,2,2,9,3,1
2018-12-23,2,2,19,4,1
2018-12-30,1,1,12,4,1
2019-01-06,1,2,10,4,1
2019-01-13,2,1,16,4,1
2019-01-20,2,2,12,3,1
2019-01-27,2,1,14,3,1
2019-02-03,2,2,13,4,1
2019-02-10,1,1,11,5,1
2019-02-17,1,1,7,3,1
2019-02-24,2,1,12,4,1
2019-03-03,1,1,13,4,1
2019-03-10,1,1,11,3,1
2019-03-17,2,1,13,4,1
2019-03-24,2,1,12,3,1
2019-03-31,2,1,13,3,1
2019-04-07,4,1,12,4,1
2019-04-14,7,<1,26,8,<1
2019-04-21,3,<1,32,9,<1
2019-04-28,1,<1,32,1,<1
2019-05-05,1,<1,62,1,<1
2019-05-12,1,1,44,1,1
2019-05-19,1,<1,40,1,<1
2019-05-26,1,<1,40,1,<1
2019-06-02,1,<1,91,1,<1
2019-06-09,1,1,100,1,<1
2019-06-16,2,1,8,2,1
2019-06-23,1,1,5,1,1
2019-06-30,9,2,13,3,1
2019-07-07,2,1,7,5,1
2019-07-14,1,1,4,2,1
2019-07-21,1,1,3,1,<1
2019-07-28,1,<1,3,1,<1
2019-08-04,1,<1,3,1,<1
2019-08-11,1,<1,3,1,<1
2019-08-18,1,<1,2,1,<1
2019-08-25,1,<1,2,<1,<1
2019-09-01,1,<1,2,1,<1
2019-09-08,1,<1,2,1,<1
2019-09-15,1,<1,2,1,<1
2019-09-22,1,<1,2,1,<1
2019-09-29,1,<1,3,1,<1
2019-10-06,3,1,7,1,1
2019-10-13,1,1,8,1,1
2019-10-20,5,2,11,2,2
2019-10-27,5,3,19,6,4
2019-11-03,3,2,14,2,2
2019-11-10,3,2,13,4,2
2019-11-17,3,1,11,5,3
