Category: All categories

Week,Milwaukee Bucks: (United States),Sacramento Kings: (United States),Detroit Pistons: (United States),New York Knicks: (United States),Portland Trail Blazers: (United States)
2018-11-25,9,4,5,9,5
2018-12-02,10,4,7,10,4
2018-12-09,9,5,5,9,5
2018-12-16,9,5,5,9,4
2018-12-23,12,6,5,9,7
2018-12-30,9,5,4,8,7
2019-01-06,11,5,5,8,5
2019-01-13,8,4,5,7,5
2019-01-20,9,4,4,9,5
2019-01-27,10,3,5,21,5
2019-02-03,14,8,8,15,6
2019-02-10,10,4,5,11,6
2019-02-17,8,4,3,7,4
2019-02-24,15,5,5,10,6
2019-03-03,11,4,7,7,6
2019-03-10,10,3,6,7,5
2019-03-17,12,3,5,8,6
2019-03-24,11,4,5,6,9
2019-03-31,13,3,6,7,6
2019-04-07,12,3,10,7,9
2019-04-14,26,2,11,5,21
2019-04-21,28,1,9,4,28
2019-04-28,40,1,1,4,35
2019-05-05,41,1,2,5,40
2019-05-12,55,1,2,14,70
2019-05-19,100,1,2,7,39
2019-05-26,33,1,2,6,3
2019-06-02,3,1,2,6,2
2019-06-09,3,1,2,9,2
2019-06-16,5,3,6,17,3
2019-06-23,4,2,3,13,3
2019-06-30,7,5,7,32,6
2019-07-07,5,2,8,13,4
2019-07-14,4,1,3,8,2
2019-07-21,3,1,2,5,2
2019-07-28,2,1,2,5,2
2019-08-04,2,1,2,4,2
2019-08-11,2,1,2,4,2
2019-08-18,2,1,2,3,1
2019-08-25,2,1,2,3,1
2019-09-01,2,1,1,3,1
2019-09-08,2,1,2,4,2
2019-09-15,2,1,2,4,2
2019-09-22,2,1,2,4,2
2019-09-29,3,2,2,4,2
2019-10-06,6,2,4,7,4
2019-10-13,5,3,4,7,3
2019-10-20,13,5,8,14,7
2019-10-27,14,5,9,16,8
2019-11-03,15,4,8,11,14
2019-11-10,10,9,6,15,10
2019-11-17,13,7,5,13,24
