Category: All categories

Week,Denver Nuggets: (United States),Cleveland Cavaliers: (United States),Toronto Raptors: (United States),New Orleans Pelicans: (United States),Charlotte Hornets: (United States)
2018-11-25,4,6,4,1,1
2018-12-02,3,6,3,1,1
2018-12-09,3,6,4,2,2
2018-12-16,4,4,2,2,2
2018-12-23,3,4,2,2,1
2018-12-30,4,4,3,1,1
2019-01-06,4,4,2,1,1
2019-01-13,4,4,2,2,1
2019-01-20,3,4,2,1,1
2019-01-27,4,3,2,3,2
2019-02-03,4,4,3,4,2
2019-02-10,3,4,3,2,1
2019-02-17,2,3,2,1,2
2019-02-24,4,4,3,2,2
2019-03-03,4,3,2,1,1
2019-03-10,3,3,2,1,1
2019-03-17,4,3,2,1,1
2019-03-24,4,3,2,1,1
2019-03-31,5,3,2,1,1
2019-04-07,5,3,3,1,2
2019-04-14,10,2,5,1,<1
2019-04-21,10,2,6,1,<1
2019-04-28,21,1,9,1,<1
2019-05-05,20,2,13,1,<1
2019-05-12,11,3,26,5,1
2019-05-19,1,2,38,1,<1
2019-05-26,1,2,58,1,<1
2019-06-02,1,2,77,1,<1
2019-06-09,1,2,100,3,1
2019-06-16,2,5,9,8,1
2019-06-23,1,3,3,3,1
2019-06-30,2,3,5,7,2
2019-07-07,2,3,3,3,1
2019-07-14,1,2,1,2,1
2019-07-21,1,1,1,1,1
2019-07-28,1,1,1,1,<1
2019-08-04,1,1,1,1,<1
2019-08-11,1,1,1,1,1
2019-08-18,1,1,1,1,<1
2019-08-25,1,1,1,1,<1
2019-09-01,1,1,1,1,<1
2019-09-08,1,1,1,1,<1
2019-09-15,1,1,1,1,1
2019-09-22,1,1,1,1,<1
2019-09-29,1,1,1,1,1
2019-10-06,2,2,1,5,2
2019-10-13,2,2,1,3,1
2019-10-20,4,3,7,6,2
2019-10-27,5,6,3,7,5
2019-11-03,4,5,3,3,4
2019-11-10,4,5,7,4,2
2019-11-17,5,5,3,7,2
