Category: All categories

Week,Los Angeles Clippers: (United States),Los Angeles Lakers: (United States),Atlanta Hawks: (United States),Phoenix Suns: (United States),Minnesota Timberwolves: (United States)
2018-11-25,4,38,2,3,4
2018-12-02,3,38,2,3,5
2018-12-09,4,42,2,5,4
2018-12-16,3,41,2,4,4
2018-12-23,4,58,3,4,4
2018-12-30,3,35,2,4,3
2019-01-06,3,31,2,3,6
2019-01-13,4,32,2,3,4
2019-01-20,2,35,2,3,4
2019-01-27,4,50,3,3,3
2019-02-03,5,67,3,5,3
2019-02-10,3,32,3,2,3
2019-02-17,2,27,2,2,2
2019-02-24,4,42,4,2,3
2019-03-03,5,43,3,4,3
2019-03-10,4,29,2,4,3
2019-03-17,4,23,2,3,2
2019-03-24,4,20,2,4,2
2019-03-31,4,17,3,3,2
2019-04-07,5,22,2,2,2
2019-04-14,15,15,1,1,1
2019-04-21,20,13,1,2,1
2019-04-28,3,12,1,1,1
2019-05-05,2,18,1,1,1
2019-05-12,2,23,2,2,1
2019-05-19,2,18,1,1,1
2019-05-26,2,18,1,1,1
2019-06-02,2,17,1,2,1
2019-06-09,2,33,2,2,1
2019-06-16,3,55,5,5,4
2019-06-23,3,43,2,3,2
2019-06-30,18,100,3,5,5
2019-07-07,11,48,2,3,3
2019-07-14,3,24,1,2,2
2019-07-21,4,19,1,1,1
2019-07-28,3,15,1,1,1
2019-08-04,2,13,1,1,1
2019-08-11,2,15,1,1,1
2019-08-18,2,16,1,1,1
2019-08-25,2,12,1,1,1
2019-09-01,2,10,1,1,1
2019-09-08,2,9,1,1,1
2019-09-15,2,9,1,1,1
2019-09-22,2,10,1,1,1
2019-09-29,3,12,1,1,1
2019-10-06,3,26,3,2,2
2019-10-13,4,25,2,2,2
2019-10-20,29,56,4,5,4
2019-10-27,14,53,7,12,5
2019-11-03,12,55,5,9,7
2019-11-10,12,59,4,11,5
2019-11-17,15,49,10,7,5
