Category: All categories

Week,Boston Celtics: (United States),Houston Rockets: (United States),Chicago Bulls: (United States),Utah Jazz: (United States),Philadelphia 76ers: (United States)
2018-11-25,14,9,6,5,14
2018-12-02,14,8,8,5,14
2018-12-09,19,11,9,5,12
2018-12-16,16,11,8,5,11
2018-12-23,21,14,7,7,14
2018-12-30,17,16,7,4,11
2019-01-06,15,14,7,6,11
2019-01-13,17,12,7,6,12
2019-01-20,16,19,8,6,13
2019-01-27,23,13,6,6,15
2019-02-03,23,13,9,7,25
2019-02-10,19,12,6,4,21
2019-02-17,12,9,5,4,10
2019-02-24,17,14,8,5,12
2019-03-03,21,12,8,6,16
2019-03-10,19,14,6,7,13
2019-03-17,15,13,6,5,18
2019-03-24,15,13,5,7,12
2019-03-31,14,11,6,6,14
2019-04-07,15,13,5,7,19
2019-04-14,31,23,3,9,33
2019-04-21,28,32,3,14,24
2019-04-28,50,45,3,1,35
2019-05-05,44,100,3,1,45
2019-05-12,10,9,6,1,32
2019-05-19,7,4,4,1,5
2019-05-26,6,5,3,1,5
2019-06-02,7,5,3,1,4
2019-06-09,10,5,5,2,5
2019-06-16,23,7,9,6,9
2019-06-23,19,6,6,3,7
2019-06-30,25,9,9,8,18
2019-07-07,17,14,6,4,8
2019-07-14,10,7,4,2,5
2019-07-21,7,6,3,2,4
2019-07-28,6,5,3,2,4
2019-08-04,5,4,3,1,3
2019-08-11,6,4,3,2,3
2019-08-18,5,3,2,1,2
2019-08-25,4,3,2,1,2
2019-09-01,4,4,2,1,2
2019-09-08,4,4,3,1,2
2019-09-15,4,4,4,1,2
2019-09-22,4,4,3,1,3
2019-09-29,5,7,3,2,4
2019-10-06,9,10,7,3,7
2019-10-13,10,8,6,3,7
2019-10-20,20,17,10,11,15
2019-10-27,21,24,12,9,18
2019-11-03,19,18,16,8,21
2019-11-10,28,18,11,9,16
2019-11-17,26,18,10,5,12
