Time,V Pop,H Pop,Last Attendance vs Opp,Visitor,Playoffs?,Last Five,Day of Week,Month,Rivalry?,Attendance
2004-01-02 19:00:00,3.0,3.0,15108.0,Golden State Warriors,0.0,1.0,Friday,January,0.0,12466.0
2004-01-02 19:30:00,4.0,9.0,18624.0,Indiana Pacers,0.0,4.0,Friday,January,0.0,18624.0
2004-01-02 19:30:00,19.0,2.0,19600.0,Orlando Magic,0.0,1.0,Friday,January,1.0,15864.0
2004-01-02 20:00:00,5.0,2.0,17093.0,Atlanta Hawks,0.0,4.0,Friday,January,0.0,17074.0
2004-01-02 22:00:00,4.0,2.0,19372.0,Denver Nuggets,0.0,2.0,Friday,January,0.0,17316.0
2004-01-03 13:30:00,8.0,4.0,16057.0,Philadelphia 76ers,0.0,4.0,Saturday,January,0.0,18797.0
2004-01-03 16:00:00,7.0,1.0,16561.0,Sacramento Kings,0.0,3.0,Saturday,January,0.0,18252.0
2004-01-03 20:30:00,9.0,17.0,18402.0,Boston Celtics,0.0,2.0,Saturday,January,0.0,22315.0
2004-01-03 20:30:00,2.0,5.0,16473.0,Minnesota Timberwolves,0.0,3.0,Saturday,January,0.0,19936.0
2004-01-03 20:30:00,4.0,8.0,16611.0,Utah Jazz,0.0,2.0,Saturday,January,1.0,15482.0
2004-01-03 22:00:00,5.0,4.0,19513.0,Atlanta Hawks,0.0,2.0,Saturday,January,0.0,17230.0
2004-01-04 13:00:00,13.0,5.0,20155.0,Phoenix Suns,0.0,3.0,Sunday,January,0.0,19029.0
2004-01-04 14:00:00,2.0,3.0,17242.0,Milwaukee Bucks,0.0,1.0,Sunday,January,0.0,12073.0
2004-01-04 21:30:00,5.0,1.0,0.0,Los Angeles Lakers,0.0,2.0,Sunday,January,1.0,19653.0
2004-01-05 19:00:00,2.0,8.0,16316.0,Milwaukee Bucks,0.0,1.0,Monday,January,0.0,18337.0
2004-01-05 19:00:00,3.0,9.0,16602.0,Detroit Pistons,0.0,5.0,Monday,January,1.0,13015.0
2004-01-05 19:30:00,4.0,2.0,20053.0,Indiana Pacers,0.0,2.0,Monday,January,0.0,14453.0
