,Attendance,Time,Home,Playoffs?,Last Five,Curr Win %,Day of Week,Month,Rivalry?,LS Win %,V Pop,H Pop,Year,Hour,Capacity
13008,12466.0,2004-01-02 19:00:00,Washington Wizards,0,1.0,0.3333333333333333,Friday,January,0,0.4657534246575342,3,3,2004,1140,20173.0
13009,18624.0,2004-01-02 19:30:00,Boston Celtics,0,4.0,0.6896551724137931,Friday,January,0,0.5569620253164557,4,9,2004,1170,18624.0
13010,15864.0,2004-01-02 19:30:00,Miami Heat,0,1.0,0.27586206896551724,Friday,January,1,0.3380281690140845,19,2,2004,1170,20291.0
13011,19763.0,2004-01-02 19:30:00,New York Knicks,0,4.0,0.41935483870967744,Friday,January,1,0.4722222222222222,17,4,2004,1170,19763.0
13012,22076.0,2004-01-02 20:00:00,Detroit Pistons,0,2.0,0.3793103448275862,Friday,January,0,0.569620253164557,13,3,2004,1200,22076.0
13013,13041.0,2004-01-02 20:00:00,Memphis Grizzlies,0,3.0,0.5357142857142857,Friday,January,0,0.6486486486486487,4,3,2004,1200,19351.0
13014,17074.0,2004-01-02 20:00:00,Minnesota Timberwolves,0,4.0,0.7142857142857143,Friday,January,0,0.625,5,2,2004,1200,20391.0
13015,18717.0,2004-01-02 20:30:00,Milwaukee Bucks,0,3.0,0.5555555555555556,Friday,January,0,0.4861111111111111,5,2,2004,1230,18717.0
13016,17316.0,2004-01-02 22:00:00,Portland Trail Blazers,0,2.0,0.4814814814814815,Friday,January,0,0.5802469135802469,4,2,2004,1320,20609.0
13017,18797.0,2004-01-03 13:30:00,San Antonio Spurs,0,4.0,0.6451612903225806,Saturday,January,0,0.7173913043478259,8,4,2004,810,19034.0
13018,18252.0,2004-01-03 16:00:00,Los Angeles Clippers,0,3.0,0.7142857142857143,Saturday,January,0,0.5945945945945946,7,1,2004,960,19697.0
13019,20719.0,2004-01-03 19:30:00,Detroit Pistons,0,1.0,0.4666666666666667,Saturday,January,0,0.569620253164557,3,3,2004,1170,22076.0
13020,15722.0,2004-01-03 20:00:00,Memphis Grizzlies,0,1.0,0.26666666666666666,Saturday,January,0,0.6486486486486487,19,3,2004,1200,19351.0
13021,22315.0,2004-01-03 20:30:00,Chicago Bulls,0,2.0,0.3103448275862069,Saturday,January,0,0.5833333333333334,9,17,2004,1230,23067.0
13022,19936.0,2004-01-03 20:30:00,Dallas Mavericks,0,3.0,0.6896551724137931,Saturday,January,0,0.7173913043478259,2,5,2004,1230,20677.0
13023,15482.0,2004-01-03 20:30:00,Houston Rockets,0,2.0,0.5172413793103449,Saturday,January,1,0.527027027027027,4,8,2004,1230,18226.0
13024,17230.0,2004-01-03 22:00:00,Denver Nuggets,0,2.0,0.5806451612903226,Saturday,January,0,0.527027027027027,5,4,2004,1320,19812.0
13025,19029.0,2004-01-04 13:00:00,Toronto Raptors,0,3.0,0.5,Sunday,January,0,0.3333333333333333,13,5,2004,780,20116.0
13026,12073.0,2004-01-04 14:00:00,Washington Wizards,0,1.0,0.32142857142857145,Sunday,January,0,0.4657534246575342,2,3,2004,840,20173.0
13027,19653.0,2004-01-04 21:30:00,Los Angeles Clippers,0,2.0,0.75,Sunday,January,1,0.5945945945945946,5,1,2004,1290,19697.0
13028,13015.0,2004-01-05 19:00:00,Boston Celtics,0,5.0,0.6666666666666666,Monday,January,1,0.5569620253164557,3,9,2004,1140,18624.0
13029,18337.0,2004-01-05 19:00:00,Philadelphia 76ers,0,1.0,0.4545454545454545,Monday,January,0,0.569620253164557,2,8,2004,1140,20965.0
13030,14453.0,2004-01-05 19:30:00,Miami Heat,0,2.0,0.375,Monday,January,0,0.3380281690140845,4,2,2004,1170,20291.0
13031,16720.0,2004-01-05 20:30:00,Chicago Bulls,0,2.0,0.3548387096774194,Monday,January,0,0.5833333333333334,13,17,2004,1230,23067.0
13032,9956.0,2004-01-05 20:30:00,Houston Rockets,0,4.0,0.5862068965517241,Monday,January,0,0.527027027027027,3,8,2004,1230,18226.0
13033,19911.0,2004-01-05 21:00:00,Utah Jazz,0,2.0,0.5333333333333333,Monday,January,0,0.5569620253164557,5,4,2004,1260,19911.0
13034,15120.0,2004-01-05 21:00:00,Denver Nuggets,0,4.0,0.65625,Monday,January,0,0.527027027027027,4,4,2004,1260,19812.0
13035,15277.0,2004-01-06 19:00:00,Cleveland Cavaliers,0,3.0,0.40625,Tuesday,January,0,0.3333333333333333,4,2,2004,1140,20562.0
13036,15753.0,2004-01-06 19:00:00,Indiana Pacers,0,0.0,0.25806451612903225,Tuesday,January,0,0.5569620253164557,19,4,2004,1140,18345.0
13037,20095.0,2004-01-06 20:00:00,Minnesota Timberwolves,0,3.0,0.7,Tuesday,January,0,0.625,5,2,2004,1200,20391.0
13038,16413.0,2004-01-06 20:30:00,San Antonio Spurs,0,1.0,0.3103448275862069,Tuesday,January,0,0.7173913043478259,3,4,2004,1230,19034.0
13039,17317.0,2004-01-06 22:00:00,Sacramento Kings,0,3.0,0.7241379310344828,Tuesday,January,0,0.6976744186046512,5,7,2004,1320,17317.0
13040,19874.0,2004-01-07 19:00:00,Toronto Raptors,0,4.0,0.5172413793103449,Wednesday,January,0,0.3333333333333333,2,5,2004,1140,20116.0
13041,13286.0,2004-01-07 19:00:00,Boston Celtics,0,0.0,0.25,Wednesday,January,0,0.5569620253164557,19,9,2004,1140,18624.0
13042,18622.0,2004-01-07 19:00:00,Philadelphia 76ers,0,2.0,0.4705882352941176,Wednesday,January,0,0.569620253164557,1,8,2004,1140,20965.0
13043,19111.0,2004-01-07 19:30:00,Detroit Pistons,0,3.0,0.5666666666666667,Wednesday,January,0,0.569620253164557,8,3,2004,1170,22076.0
13044,14413.0,2004-01-07 19:30:00,Miami Heat,0,3.0,0.3939393939393939,Wednesday,January,1,0.3380281690140845,17,2,2004,1170,20291.0
13045,14009.0,2004-01-07 20:00:00,Milwaukee Bucks,0,1.0,0.34375,Wednesday,January,0,0.4861111111111111,13,2,2004,1200,18717.0
13046,20185.0,2004-01-07 21:00:00,Dallas Mavericks,0,0.0,0.4375,Wednesday,January,0,0.7173913043478259,3,5,2004,1260,20677.0
13047,19739.0,2004-01-07 21:00:00,Denver Nuggets,0,1.0,0.7,Wednesday,January,0,0.527027027027027,5,4,2004,1260,19812.0
13048,19763.0,2004-01-08 19:00:00,New York Knicks,0,2.0,0.3939393939393939,Thursday,January,0,0.4722222222222222,8,4,2004,1140,19763.0
13049,15599.0,2004-01-08 21:30:00,Minnesota Timberwolves,0,1.0,0.4642857142857143,Thursday,January,0,0.625,2,2,2004,1290,20391.0
13050,18405.0,2004-01-09 19:00:00,Toronto Raptors,0,4.0,0.5,Friday,January,0,0.3333333333333333,1,5,2004,1140,20116.0
13051,13552.0,2004-01-09 19:00:00,Orlando Magic,0,1.0,0.3,Friday,January,0,0.4810126582278481,3,19,2004,1140,17283.0
